ID,Q1  I receive training to do my job effec,Q2  There is someone at work who encourag,Q3  I have been mentored at work,Q4  I have received fair consideration fo,Q5  I am aware of the City's educational,Q6  The City's programs related to profes,Q7  Overall  I am satisfied with the prof,Q9a  City Manager's Office,Q9b  Strategic Management & Diversity Off,Q9c  Human Resources,Q9d  Information Technology,Q9e  Risk Management/Worker's Compensatio,Q10a  The Wellness program,Q10b  City mediation services,Q10c  The Safe Haven process,Q11  Senior leadership in my department i,Q12  My physical work environment (buildi,Q13  Overall  I am satisfied with the sup,Q15  My immediate supervisor treats me wi,Q16  I know what is expected of me,Q17  I have the materials and equipment I,Q18  I am comfortable expressing my opini,Q19  I believe my opinions seem to count,Q20  My work is appreciated by my immedia,Q21  My immediate supervisor gives me cle,Q22  My immediate supervisor makes good u,Q23  I receive constructive feedback on m,Q24  The work I perform is evaluated fair,Q25  My immediate supervisor knows my car,Q26  My immediate supervisor supports me,Q27  Within the last 30 days I have recei,Q28  When I request training  my supervis,Q29  Senior managers in my department lis,Q30  I believe senior managers in my depa,Q31  As a supervisor  I am supported when,Q32  Conflict in my work area is resolved,Q33  I believe assignments in my departme,Q34  I believe exceptional job performanc,Q35  I believe poor job performance is de,Q36  As a supervisor  I have been given t,Q37  I feel safe and comfortable in my wo,Q38  My immediate supervisor has the tool,Q39  Overall  I am satisfied with the wor,Q41  The City's health care plan meets my,Q42  The amount that I pay for health car,Q43  The City does a good job of informin,Q44  The amount of leave that I receive e,Q45  I think the amount I am paid is adeq,Q46  I am satisfied with the City's defer,Q47  Overall  I am reasonably compensated,Q49  I receive information that affects m,Q50  I can express my opinions about work,Q51  Communication between work units/div,Q52  Communication between my work unit/d,Q53  With respect to my job  communicatio,Q54  I have adequate input on decisions a,Q55  Senior managers in my department use,Q56  I am encouraged to be innovative and,Q57  Employees in my department are highl,Q58  Overall  I am satisfied with the lev,Q60  My co-workers treat me with respect,Q61  Conflict between co-workers is resol,Q62  Overall  I am very satisfied with th,Q64  Are you aware of the Council priorit,Q65  Are you proud to work for the City o,Q66  Overall  how satisfied are you with,Q67  How has the quality of the work envi,Q68  Would you recommend the City of Temp,Q69  Does the City's working environment,Q70  Would like to finish your career wit,Q71  Have you applied for a new position,Q74  In which department do you currently
269,1,3,1,3,4,3,3,9,9,3,3,3,3,9,9,3,4,3,3,2,2,1,1,3,1,1,1,2,1,1,1,2,2,4,2,2,1,2,1,1,2,3,2,3,2,3,4,4,4,4,1,3,2,2,3,2,2,3,2,3,4,3,4,2,9,2,2,9,2,1,1,9
270,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,1,1,4,4,1,1,1,1,12
271,4,4,4,4,4,3,3,4,3,3,4,4,2,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,2,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,1,1,4,5,1,1,1,2,13
272,3,4,4,3,2,9,9,9,9,9,4,4,5,9,9,4,2,2,5,4,4,5,5,5,4,4,4,4,4,5,5,5,4,5,9,4,9,9,9,9,2,5,4,4,4,4,4,4,9,4,4,5,4,4,3,4,4,4,4,4,5,4,4,1,1,3,3,1,1,1,1,14
273,4,3,4,4,1,9,2,2,9,9,4,2,1,9,9,4,2,4,5,3,4,4,2,4,3,2,4,4,4,4,5,4,2,1,9,4,4,2,3,9,4,3,4,3,4,3,5,4,9,4,4,3,1,2,1,2,1,2,3,3,5,5,5,2,1,3,4,1,2,1,1,13
274,3,5,5,5,5,5,4,4,4,4,2,4,4,3,3,5,3,5,5,5,4,5,5,5,5,5,5,5,4,4,5,3,5,5,5,4,4,4,3,4,5,5,5,3,2,4,4,2,1,2,5,5,4,3,3,4,5,4,4,3,3,3,4,1,1,4,4,1,1,1,1,14
275,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
276,4,4,4,3,4,2,9,3,3,2,5,3,1,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,3,4,9,9,3,3,3,9,4,4,4,1,3,2,3,3,3,3,4,4,2,2,4,3,3,2,3,3,4,4,4,1,1,3,4,1,1,1,2,13
277,5,5,4,4,5,5,5,3,3,4,4,3,3,3,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,3,5,3,5,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,1,1,4,4,1,1,1,2,6
278,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,9,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,1,1,4,5,1,1,1,2,14
279,4,2,2,4,4,4,4,1,2,1,2,3,2,3,3,1,2,2,2,2,4,1,2,2,3,2,2,3,3,3,1,2,4,4,4,4,3,2,4,4,3,3,3,2,1,2,1,1,1,1,3,3,1,1,1,2,1,3,1,1,4,4,4,2,1,2,2,1,2,1,1,12
280,5,4,4,3,4,4,4,4,3,4,1,4,9,9,9,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,9,9,4,4,9,5,5,5,4,4,4,4,2,2,3,5,2,2,3,4,4,2,4,4,3,4,4,4,1,1,4,4,1,1,1,2,13
282,4,4,4,4,4,4,4,3,9,4,4,9,4,9,9,9,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,9,4,4,3,4,3,3,3,2,2,3,2,4,4,4,4,4,3,3,3,2,3,3,3,3,9,1,3,3,9,9,9,2,2
285,3,1,1,1,4,4,4,3,3,2,1,2,2,3,3,2,1,2,4,3,2,3,2,4,3,2,2,2,3,3,2,3,2,3,9,2,2,2,2,9,2,3,2,3,2,3,3,2,2,2,2,2,1,1,1,1,1,2,2,2,3,3,3,2,1,3,2,2,2,1,1,12
286,3,2,2,1,4,3,3,3,5,3,4,3,3,3,4,3,5,4,3,3,3,2,3,3,3,3,2,3,2,2,2,4,4,3,3,2,2,2,3,3,4,3,4,5,5,5,4,1,4,2,2,4,2,4,3,2,3,3,4,3,4,3,3,1,1,2,9,9,9,9,2,99
287,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,5,1,1,1,2,14
288,4,4,3,4,4,3,4,3,3,4,4,3,5,3,3,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,9,4,3,3,3,4,3,3,5,4,4,5,5,5,4,5,5,5,4,4,4,4,3,4,3,3,4,4,4,3,5,2,1,4,3,1,1,1,2,2
289,3,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3,4,3,3,2,3,3,3,3,3,2,2,3,4,2,2,9,2,1,1,5,9,3,2,2,2,2,3,3,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,2,2,2,2,1,2,2,9,9,99
290,4,5,5,5,5,9,9,9,9,4,4,4,3,9,9,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,9,4,4,5,4,9,5,5,5,4,3,4,4,3,4,4,5,4,4,4,4,4,4,5,5,4,5,4,5,9,1,4,5,1,1,1,2,7
292,5,4,3,4,4,4,4,4,4,3,4,4,4,4,9,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,3,5,3,4,9,4,5,2,2,9,5,5,5,5,5,4,3,1,4,2,4,4,5,4,4,4,3,4,1,3,4,3,4,2,1,4,5,1,1,1,2,14
293,3,4,3,5,3,3,4,4,4,4,5,4,4,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,3,3,4,5,5,4,4,4,2,4,5,5,5,4,5,5,5,5,4,3,5,5,5,5,2,5,1,1,4,3,1,1,1,1,14
295,4,4,2,3,4,2,3,3,3,3,1,2,2,3,3,4,4,3,4,5,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3,2,3,2,3,3,4,4,4,2,2,4,4,4,3,3,2,4,3,3,3,4,5,5,4,3,2,2,2,2,9,3,3,9,2,1,2,7
298,2,4,4,4,5,4,4,4,3,5,5,3,3,3,3,4,2,4,4,4,4,2,4,4,2,4,2,2,2,3,1,4,4,4,4,3,2,4,2,3,2,3,2,2,2,4,4,2,3,3,4,4,2,2,2,4,4,4,4,3,4,3,3,1,1,3,5,1,1,1,2,7
299,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
301,4,3,3,3,4,3,3,3,3,3,4,3,1,9,1,1,4,3,4,3,4,4,1,3,3,3,3,3,2,3,3,4,1,1,9,3,3,5,1,9,3,2,2,4,4,4,4,3,9,3,4,3,4,4,4,1,1,2,2,2,5,4,4,2,2,2,1,2,2,2,2,14
302,4,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,2,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,1,1,1,2,14
303,3,3,3,3,4,2,3,2,3,4,2,3,2,3,3,2,4,2,4,4,2,4,4,4,3,4,4,4,4,4,4,4,2,2,9,4,4,2,2,9,4,4,4,2,4,3,4,2,4,2,3,2,2,2,4,4,2,3,4,3,4,4,4,1,2,3,3,1,2,1,2,12
304,4,1,2,2,5,5,5,9,9,4,4,9,5,9,9,1,4,4,5,5,5,4,4,4,4,4,4,4,3,4,2,5,2,2,9,2,4,1,1,9,4,3,1,5,5,5,5,4,4,4,2,2,2,4,2,2,1,4,2,2,4,3,4,2,9,1,2,1,2,9,1,4
305,5,4,3,4,5,5,5,5,4,4,5,5,5,5,5,4,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,2,1,2,5,4,3,4,4,3,5,4,2,3,4,2,4,1,1,1,1,1,1,3,3,3,3,3,1,1,2,1,1,2,2,1,6
307,5,5,4,1,5,2,4,9,5,1,3,2,5,9,5,1,2,3,5,5,5,4,2,5,4,4,5,4,4,4,4,4,1,1,9,4,3,1,5,9,3,4,4,1,1,4,2,2,2,2,5,1,1,3,4,2,1,4,2,3,4,4,5,1,2,4,1,2,9,1,9,14
308,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,4,2,3,2,4,3,1,4,4,2,3,4,2,2,2,9,3,3,2,3,9,3,2,3,3,2,4,2,1,4,1,3,3,2,9,3,2,1,2,3,3,4,4,4,1,1,3,2,9,2,1,2,13
310,5,5,5,9,5,5,5,4,5,4,2,9,9,9,9,5,2,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,9,5,5,5,9,9,4,5,5,4,9,4,4,4,4,4,5,5,5,2,5,5,5,5,5,5,5,5,5,1,1,4,2,1,1,1,2,11
311,3,5,5,5,5,3,4,4,3,4,3,3,3,9,3,3,5,5,5,5,3,4,3,4,4,4,4,4,3,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,4,1,1,4,2,1,1,1,2,9
313,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,3,9,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,3,5,5,5,5,5,1,1,4,3,1,1,1,2,13
317,5,1,1,4,4,3,4,4,3,4,4,4,4,3,3,2,4,4,1,1,5,2,2,1,1,3,1,1,1,1,1,9,4,4,9,4,5,1,1,3,3,3,3,4,3,5,5,5,3,5,2,3,4,4,4,1,1,3,3,2,5,5,5,1,1,3,2,1,2,1,2,13
318,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
319,2,4,4,2,4,3,2,9,9,1,9,1,1,9,9,3,2,1,4,3,3,4,3,4,3,4,4,4,3,4,3,4,4,3,9,9,3,3,1,9,3,2,3,1,1,1,4,2,3,1,3,4,1,1,2,3,2,3,3,3,2,1,2,1,9,3,3,1,2,1,1,6
320,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,4,4,4,4,9,4,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,1,1,4,4,1,1,1,2,6
321,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
322,4,4,4,4,5,3,3,4,9,9,9,3,1,9,9,5,5,5,5,5,5,5,5,5,5,5,3,9,5,4,3,9,5,5,9,4,5,5,5,9,5,5,5,9,9,5,2,9,5,4,5,5,3,3,3,5,5,3,5,4,5,4,5,1,1,4,9,1,1,1,1,10
323,4,4,3,9,4,9,9,9,9,4,4,9,4,9,9,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
325,2,4,4,3,4,2,2,9,9,2,4,9,4,9,9,2,4,2,4,4,2,2,2,4,2,3,4,4,2,2,2,4,3,3,3,2,2,2,2,2,4,2,3,2,2,2,2,2,9,2,2,3,2,2,2,3,2,2,4,2,3,3,3,1,1,2,2,9,2,9,2,10
326,4,2,3,3,9,9,9,1,2,9,9,4,1,1,9,2,4,3,3,5,4,3,4,4,4,5,4,4,2,9,9,4,9,9,9,3,4,4,2,9,1,3,3,1,1,4,3,1,3,1,2,9,3,3,4,4,2,1,1,1,2,3,1,2,9,9,5,9,2,2,1,14
328,4,3,3,4,4,9,9,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,4,2,3,9,2,2,3,1,9,4,4,4,2,4,4,4,2,3,3,2,3,3,2,3,3,3,4,2,3,4,3,9,1,1,3,3,1,9,1,1,13
329,1,3,3,9,3,3,3,2,9,3,4,4,3,9,9,2,4,3,5,5,2,4,3,4,4,4,4,9,3,3,4,3,2,2,3,4,1,2,1,2,4,9,2,4,3,4,4,1,3,2,3,4,1,1,1,2,1,3,9,2,4,4,3,2,9,9,2,2,2,1,1,14
330,5,4,4,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,3,4,3,5,5,5,4,3,3,2,4,4,3,4,5,3,3,3,3,3,4,4,3,3,5,5,5,1,1,3,3,1,1,2,2,13
331,4,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,2,4,4,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,1,1,4,5,1,1,1,1,8
334,4,5,2,5,5,9,4,9,9,5,5,9,4,9,9,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,9,4,5,5,2,9,5,4,5,5,5,5,5,3,9,5,5,5,3,4,4,4,4,5,3,3,5,4,5,2,1,4,4,1,1,9,1,12
337,2,3,2,1,4,2,1,2,4,1,4,9,2,9,9,2,3,4,5,5,5,5,4,3,5,4,3,9,9,4,2,9,4,2,9,3,2,2,2,9,4,4,4,3,4,5,5,5,4,5,5,5,1,2,2,3,3,4,3,3,4,4,5,1,1,3,4,1,9,1,1,6
340,4,3,3,4,4,4,4,4,5,4,4,4,4,3,5,1,3,3,2,5,4,4,2,3,2,2,3,3,3,3,2,3,3,4,3,3,3,3,2,4,4,2,2,3,3,4,4,4,4,4,3,4,2,4,2,2,2,4,3,2,4,4,4,1,1,3,1,1,1,1,2,6
343,2,1,1,1,4,5,3,2,3,4,4,4,3,9,9,1,3,2,5,1,3,4,1,3,1,9,1,3,1,3,1,2,2,1,9,1,1,1,1,9,3,3,2,5,5,5,1,3,5,3,2,1,1,3,1,1,1,1,2,1,5,3,4,1,9,2,1,9,2,9,1,2
344,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,4,9,9,9,9,9,99
345,4,5,5,5,5,5,4,4,4,4,4,4,4,9,9,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,3,4,1,1,4,5,1,1,1,1,14
346,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
347,4,5,5,5,5,3,4,4,2,3,4,3,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,4,5,1,1,1,2,14
348,3,2,2,4,4,3,3,4,3,4,4,4,5,3,3,3,5,3,4,4,4,4,4,4,3,4,3,3,4,3,2,3,4,4,4,4,4,3,3,4,4,4,4,5,5,5,3,2,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,1,1,3,3,1,2,1,2,14
350,2,2,2,3,4,3,2,3,3,2,4,3,1,3,3,1,4,1,1,2,1,1,1,2,2,2,4,1,2,2,3,2,2,4,3,2,2,2,2,3,2,2,2,3,3,3,3,2,3,2,4,4,2,2,2,2,3,4,4,2,2,2,2,1,2,2,1,9,1,2,1,99
352,5,5,5,5,5,5,5,3,3,5,5,4,5,3,3,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,1,4,2,1,3,5,5,3,4,3,4,3,1,3,2,5,3,1,4,3,2,1,1,1,3,5,5,5,2,1,4,2,1,1,1,1,9
353,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,4,4,3,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,4,3,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4,5,3,1,1,3,4,1,1,2,1,10
356,9,5,9,9,3,3,3,5,5,5,5,5,4,9,9,4,4,4,5,4,4,5,5,5,5,5,5,5,3,3,4,9,4,5,9,9,3,4,3,9,5,4,5,4,5,5,5,5,5,5,5,5,4,3,5,5,3,4,4,4,5,9,5,1,1,4,3,1,1,1,2,12
360,5,3,4,1,4,3,2,3,3,3,4,3,3,3,3,4,2,3,4,5,5,3,3,4,4,4,2,3,2,2,2,3,3,4,9,5,5,2,3,9,5,3,4,5,5,5,5,4,9,4,5,3,5,4,4,4,4,4,5,4,5,5,5,1,1,3,4,1,1,9,1,3
361,5,5,5,9,9,9,5,5,5,3,3,9,9,9,9,9,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,5,5,9,9,5,5,5,5,5,9,1,4,9,1,9,9,9,7
363,5,3,3,5,5,4,5,4,4,4,4,4,4,4,9,4,4,4,5,5,5,5,3,5,5,5,5,5,5,5,4,5,3,3,4,4,5,5,4,4,5,5,5,1,1,4,4,5,5,5,5,4,5,5,5,4,3,5,3,4,5,5,5,9,1,4,5,1,1,1,2,13
365,5,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,5,5,4,5,4,5,5,5,5,9,9,9,9,9,5,9,9,9,9,9,9,9,4,9,4,9,9,9,9,9,9,9,5,5,5,9,9,4,4,5,4,5,5,9,9,9,9,3,5,1,1,9,2,7
367,5,5,4,5,4,4,5,9,9,2,2,9,5,3,3,5,5,4,5,5,5,5,4,4,5,4,5,5,4,4,5,5,5,5,5,4,3,4,3,5,5,5,4,4,4,4,2,4,4,4,4,5,4,3,3,5,4,5,4,4,4,4,4,1,1,4,3,1,1,1,1,13
368,4,4,4,3,5,3,4,4,4,4,9,9,9,9,9,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,5,9,9,9,9,9,9,4,4,4,9,9,9,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,9,1,4,4,1,1,9,9,14
369,4,2,2,3,4,4,3,9,4,4,3,3,4,9,9,4,2,4,4,5,4,4,3,2,5,4,5,5,3,4,5,9,4,4,9,2,4,1,2,9,3,4,4,4,4,5,4,1,4,1,4,9,4,9,4,2,2,1,2,2,2,2,3,1,1,2,3,1,2,9,1,13
370,4,3,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,3,4,4,4,4,2,3,4,4,3,4,4,2,4,3,4,2,1,3,4,4,4,4,4,2,1,3,2,1,1,1,1,9
371,4,2,2,1,5,1,3,1,9,3,5,5,3,9,3,4,3,1,3,4,4,2,2,2,4,4,4,3,4,4,2,4,3,4,4,4,4,2,2,4,3,4,2,3,3,4,4,1,4,1,4,2,4,4,4,4,3,4,2,3,4,3,3,2,9,9,4,1,9,1,1,99
372,5,5,5,5,5,5,5,9,9,5,5,9,5,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,9,9,9,9,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,4,5,1,1,1,2,99
373,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,4,5,1,1,1,2,9
377,2,4,2,4,4,4,4,3,3,3,3,3,5,3,3,2,3,2,4,2,4,4,2,4,4,4,4,4,2,3,2,5,3,4,9,1,4,1,1,9,2,4,1,4,5,5,5,4,4,4,4,4,2,2,2,2,3,2,4,2,3,2,3,2,1,9,2,1,2,9,2,13
378,1,3,4,3,3,5,5,3,3,2,2,1,5,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,1,1,3,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,1,2,2,1,2,9,1,13
380,3,3,2,3,4,4,3,9,9,4,3,9,4,9,9,1,1,9,3,3,2,4,1,2,3,2,1,9,1,1,1,3,2,3,9,2,4,1,1,9,3,2,2,4,4,4,4,2,9,3,1,3,1,4,9,3,2,2,1,2,2,1,2,2,9,1,1,2,2,9,1,14
381,5,5,5,5,5,9,9,9,9,9,9,9,3,9,9,3,9,3,5,5,5,5,5,5,5,5,5,4,3,5,4,5,3,3,9,4,4,4,1,9,4,4,4,2,4,4,4,4,4,4,5,5,2,3,3,3,2,3,2,2,4,4,4,9,1,3,5,1,1,1,2,13
383,5,4,5,5,4,3,4,4,4,3,4,3,4,4,3,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,9,4,9,4,4,3,4,3,5,4,4,4,3,4,3,4,4,2,4,4,4,4,3,3,4,4,4,5,4,4,4,4,1,1,4,4,1,1,1,2,9
386,1,2,1,1,5,2,2,3,3,2,4,3,2,9,9,1,2,1,4,2,2,4,1,4,2,2,2,1,3,9,1,2,1,1,9,2,2,1,2,9,2,4,1,2,4,3,5,2,5,4,4,1,4,4,4,1,1,1,1,1,5,4,5,2,2,1,1,9,2,2,1,14
390,4,5,4,5,5,5,5,4,9,3,4,4,5,9,9,5,4,4,5,5,4,4,3,5,5,4,4,4,5,5,2,3,9,1,9,1,4,5,1,9,1,4,1,5,5,5,5,5,5,5,4,4,2,3,4,4,4,5,2,3,4,3,5,2,9,2,3,1,1,2,1,14
393,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,1,1,3,3,1,1,1,2,7
395,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,9,4,5,5,3,4,5,5,5,5,5,5,5,4,5,4,3,9,4,5,5,3,3,4,5,2,4,2,5,5,2,3,3,3,9,4,4,4,4,3,4,2,1,3,4,1,1,1,2,99
396,3,3,3,3,4,3,4,4,4,4,3,4,1,3,3,2,3,2,4,4,2,1,1,3,2,1,1,2,9,2,1,2,1,1,2,3,1,1,1,2,3,3,2,1,3,3,4,4,4,4,2,2,1,2,1,2,1,1,1,2,4,4,4,2,1,3,4,1,1,1,1,13
397,4,2,4,3,1,3,3,9,9,9,4,9,4,9,9,1,4,2,3,4,4,2,2,4,2,3,2,9,1,1,1,9,1,9,9,2,4,2,2,9,4,9,2,4,4,3,4,4,9,4,2,2,2,9,1,2,1,2,1,2,4,2,2,2,1,2,3,9,2,2,2,99
398,5,4,4,5,4,1,3,3,2,3,3,3,4,9,9,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4,4,9,4,9,4,4,4,2,9,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,1,4,4,1,1,1,2,13
399,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,9,1,1,9,2,7
400,5,3,3,1,4,3,1,3,3,2,4,4,3,3,9,4,1,2,5,5,5,5,3,5,5,5,5,5,5,3,4,4,2,2,9,4,4,3,4,9,5,5,4,1,2,3,4,3,4,4,4,2,4,3,4,3,3,2,3,3,5,4,3,1,1,2,2,1,9,1,2,9
405,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,9,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,4,9,9,9,9,9,9,9,4,4,9,9,9,9,9,4,9,9,9,9,9,1,9,9,2,9,9,9,2,99
408,4,4,4,2,4,3,3,4,3,4,4,5,2,3,3,2,4,4,5,5,4,4,3,5,5,4,5,4,4,5,4,4,4,3,3,3,2,4,2,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,2,4,3,3,4,3,4,1,1,4,3,1,1,1,2,13
412,3,1,9,3,9,3,3,3,3,3,3,3,1,1,1,1,4,1,3,1,4,1,1,3,3,3,2,1,3,3,4,4,1,1,9,1,1,1,1,9,1,1,2,4,4,4,5,3,4,4,1,1,1,1,1,3,1,2,1,1,3,1,3,2,9,1,1,2,2,9,1,14
